Categoría: Todas las categorías

Mes,chocolate: (Estados Unidos)
2006-03,32
2006-04,33
2006-05,32
2006-06,27
2006-07,28
2006-08,43
2006-09,39
2006-10,40
2006-11,47
2006-12,66
2007-01,42
2007-02,50
2007-03,36
2007-04,39
2007-05,35
2007-06,33
2007-07,35
2007-08,38
2007-09,35
2007-10,35
2007-11,44
2007-12,61
2008-01,38
2008-02,46
2008-03,37
2008-04,37
2008-05,35
2008-06,32
2008-07,33
2008-08,33
2008-09,32
2008-10,37
2008-11,44
2008-12,63
2009-01,39
2009-02,49
2009-03,36
2009-04,37
2009-05,36
2009-06,34
2009-07,33
2009-08,33
2009-09,35
2009-10,39
2009-11,48
2009-12,67
2010-01,42
2010-02,49
2010-03,39
2010-04,40
2010-05,40
2010-06,34
2010-07,35
2010-08,33
2010-09,36
2010-10,39
2010-11,48
2010-12,65
2011-01,44
2011-02,54
2011-03,41
2011-04,42
2011-05,40
2011-06,38
2011-07,39
2011-08,38
2011-09,41
2011-10,45
2011-11,52
2011-12,73
2012-01,49
2012-02,58
2012-03,42
2012-04,43
2012-05,41
2012-06,39
2012-07,42
2012-08,41
2012-09,43
2012-10,45
2012-11,55
2012-12,78
2013-01,47
2013-02,60
2013-03,49
2013-04,41
2013-05,45
2013-06,41
2013-07,42
2013-08,41
2013-09,43
2013-10,45
2013-11,58
2013-12,75
2014-01,54
2014-02,62
2014-03,46
2014-04,46
2014-05,45
2014-06,42
2014-07,40
2014-08,40
2014-09,39
2014-10,44
2014-11,57
2014-12,74
2015-01,50
2015-02,57
2015-03,45
2015-04,41
2015-05,42
2015-06,39
2015-07,41
2015-08,40
2015-09,41
2015-10,48
2015-11,56
2015-12,75
2016-01,53
2016-02,59
2016-03,48
2016-04,45
2016-05,46
2016-06,41
2016-07,43
2016-08,41
2016-09,42
2016-10,47
2016-11,54
2016-12,79
2017-01,51
2017-02,59
2017-03,49
2017-04,49
2017-05,45
2017-06,42
2017-07,43
2017-08,42
2017-09,41
2017-10,48
2017-11,59
2017-12,80
2018-01,53
2018-02,61
2018-03,51
2018-04,42
2018-05,44
2018-06,43
2018-07,41
2018-08,43
2018-09,43
2018-10,47
2018-11,59
2018-12,80
2019-01,53
2019-02,61
2019-03,49
2019-04,47
2019-05,45
2019-06,42
2019-07,42
2019-08,41
2019-09,41
2019-10,48
2019-11,56
2019-12,74
2020-01,51
2020-02,59
2020-03,48
2020-04,61
2020-05,61
2020-06,49
2020-07,46
2020-08,46
2020-09,45
2020-10,54
2020-11,62
2020-12,95
2021-01,59
2021-02,71
2021-03,49
2021-04,46
2021-05,47
2021-06,42
2021-07,42
2021-08,42
2021-09,42
2021-10,50
2021-11,62
2021-12,81
2022-01,61
2022-02,65
2022-03,51
2022-04,53
2022-05,51
2022-06,46
2022-07,47
2022-08,48
2022-09,46
2022-10,53
2022-11,63
2022-12,87
2023-01,57
2023-02,66
2023-03,56
2023-04,51
2023-05,48
2023-06,48
2023-07,46
2023-08,46
2023-09,48
2023-10,53
2023-11,66
2023-12,91
2024-01,60
2024-02,63
2024-03,58
2024-04,47
2024-05,51
2024-06,51
2024-07,49
2024-08,52
2024-09,51
2024-10,56
2024-11,71
2024-12,94
2025-01,66
2025-02,77
2025-03,63
2025-04,66
2025-05,61
2025-06,57
2025-07,60
2025-08,58
2025-09,55
2025-10,63
2025-11,79
2025-12,100
2026-01,73
2026-02,81
